company_name,holder_count,is_shared,held_by_bdcs,industry_sector,business_description,total_positions,fair_value_millions,principal_millions,cost_millions,total_fair_value,total_principal,total_cost,has_business_desc,industry_classified
Ping Identity Holding Corp.,1,False,Ares Capital Corporation,Other,Provider of identity and access management solutions,1,11.2,11.2,11.2,11200000.0,11200000.0,11200000.0,True,False
"Norway_France, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,11.1,10696355.0,11.9,11100000.0,10696355000000.0,11900000.0,False,False
Winter Services LLC,1,False,Main Street Capital Corporation,Other,Provider of Snow Removal and Ice Management Services,3,10.99,11.31,11.15,10994000.0,11314000.0,11148000.0,True,False
"ADS Tactical, Inc.",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Value-Added Logistics and Supply Chain Provider to the Defense Industry,1,10.86,10.95,10.86,10860000.0,10952000.0,10856000.0,True,True
Transit Technologies LLC,1,False,Ares Capital Corporation,Software/Technology,Provider of transportation management software and specialty telematics solutions,1,10.7,10.8,10.8,10700000.0,10800000.0,10800000.0,True,True
Monica Holdco (US) Inc.,1,False,Ares Capital Corporation,Software/Technology,Investment technology and advisory firm,3,10.4,5.2,10.4,10400000.0,5200000.0,10400000.0,True,True
HDC/HW Intermediate Holdings,1,False,Main Street Capital Corporation,Other,Managed Services and Hosting Provider,5,10.23,8.17,11.28,10229000.0,8170000.0,11282000.0,True,False
"Quoizel, LLC, Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,10.2,0.0,0.0,10200000.0,0.0,0.0,False,False
"Student Resource Center, LLC",1,False,Main Street Capital Corporation,Education,Higher Education Services,5,10.08,10.86,19.94,10076000.0,10858000.0,19944000.0,True,True
"UserZoom Technologies, Inc.",2,True,"Ares Capital Corporation, Main Street Capital Corporation",Software/Technology,User experience research automation software,2,9.8,9.8,9.62,9800000.0,9800000.0,9618000.0,True,True
"Home Partners JV 2, Private Equity",1,False,FS KKR Capital Corp,Unknown,,4,9.6,4640219.0,4.6,9600000.0,4640219000000.0,4600000.0,False,False
"RMS HoldCo II, LLC & RMS Group Holdings, Inc.",1,False,Ares Capital Corporation,Healthcare Services,"Developer of revenue cycle management solutions, process automation, analytics and integration for the healthcare industry",4,9.6,0.3,11.6,9600000.0,300000.0,11600000.0,True,True
"Perigon Wealth Management, LLC, Perigon Wealth Advisors Holdings Company, LLC and CWC Fund I Co-Invest (Prism) LP",1,False,Ares Capital Corporation,Financial Services,Wealth management and financial planning firm,3,9.6,2.3,9.4,9600000.0,2300000.0,9400000.0,True,True
Laboratoires Vivacy SAS,1,False,FS KKR Capital Corp,Unknown,,4,9.6,1.1,9.4,9600000.0,1100000.0,9400000.0,False,False
NM YI LLC,1,False,New Mountain Finance Corporation,Unknown,,1,9.55,0.0,0.0,9550000.0,0.0,0.0,False,False
"Proserv Acquisition LLC, Class A Preferred Units",1,False,FS KKR Capital Corp,Unknown,,1,9.5,0.0,0.0,9500000.0,0.0,0.0,False,False
MAI Capital Management LLC,1,False,FS KKR Capital Corp,Unknown,,4,9.2,9.2,9.2,9200000.0,9200000.0,9200000.0,False,False
"Drive Revel, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,9.1,7488885.0,8.1,9100000.0,7488885000000.0,8100000.0,False,False
"Gulf Manufacturing, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Manufacturer of Specialty Fabricated Industrial Piping Products,1,9.07,0.0,2.98,9070000.0,0.0,2980000.0,True,True
"Coupa Holdings, LLC and Coupa Software Incorporated",1,False,Ares Capital Corporation,Software/Technology,Provider of Business Spend Management software,1,9.0,9.0,9.0,9000000.0,9000000.0,9000000.0,True,True
"ASC Interests, LLC",1,False,Main Street Capital Corporation,Education,Recreational and Educational Shooting Facility,10,8.72,4.1,14.91,8722000.0,4100000.0,14910000.0,True,True
"Synovus Financial Corp, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,8.4,8345434.0,8.3,8400000.0,8345434000000.0,8300000.000000001,False,False
Tekfor HoldCo (formerly Amtek Global Technology Pte Ltd),1,False,FS KKR Capital Corp,Unknown,,2,8.3,39.8,80.2,8300000.0,39800000.0,80200000.0,False,False
"Aduro Advisors, LLC",1,False,Ares Capital Corporation,Other,Provider of fund administration services,1,8.2,8.3,8.3,8199999.999999999,8300000.000000001,8300000.000000001,True,False
"RWA Wealth Partners, LLC",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services,1,8.1,8.1,8.1,8100000.0,8100000.0,8100000.0,True,True
"HighTower Holding, LLC",1,False,Ares Capital Corporation,Financial Services,"Provider of investment, financial and retirement planning services",1,8.0,8.1,7.1,8000000.0,8100000.0,7100000.0,True,True
Zellis Holdings Ltd,1,False,FS KKR Capital Corp,Unknown,,1,7.9,0.0,8.0,7900000.0,0.0,8000000.0,False,False
HKA,1,False,FS KKR Capital Corp,Unknown,,2,7.9,8.1,7.9,7900000.0,8100000.0,7900000.0,False,False
U.S. TelePacific Corp.,1,False,Main Street Capital Corporation,Telecommunications,Provider of Communications and Managed Services,3,7.82,10.83,6.55,7820000.0,10828000.0,6554000.0,True,True
Lifescan Global Corporation,1,False,Ares Capital Corporation,Healthcare Services,Provider of blood glucose monitoring systems for home and hospital use,3,7.8,11.6,19.4,7800000.0,11600000.0,19400000.0,True,True
"One Call Care Management Inc, Preferred Stock B",1,False,FS KKR Capital Corp,Unknown,,1,7.7,0.0,0.0,7700000.0,0.0,0.0,False,False
"Napa Management Services Corporation and ASP NAPA Holdings, LLC",1,False,Ares Capital Corporation,Other,Anesthesia management services provider,4,7.6,0.0,6.2,7600000.0,0.0,6200000.0,True,False
"Saluda Grade Alternative Mortgage Trust 2023-LOC2, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,1,7.5,5199630.0,8.5,7500000.0,5199630000000.0,8500000.0,False,False
"Compex Legal Services, Inc.",1,False,Ares Capital Corporation,Healthcare Services,Provider of outsourced litigated and non-litigated medical records retrieval services,3,7.4,3.7,7.4,7400000.0,3700000.0,7400000.0,True,True
"Metatiedot Bidco OY and Metatiedot US, LLC",1,False,Ares Capital Corporation,Software/Technology,Enterprise content management platform,2,7.3,7.4,7.6,7300000.0,7400000.0,7600000.0,True,True
"KKR Residential Opportunities I LLC, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,7.3,6285920.0,6.3,7300000.0,6285920000000.0,6300000.0,False,False
Mountain View CLO 2013-I Ltd.,1,False,Prospect Capital Corporation,Unknown,,1,7.29,0.0,8.04,7286000.0,0.0,8036000.0,False,False
Dechra Pharmaceuticals Ltd,1,False,FS KKR Capital Corp,Unknown,,2,7.2,3.7,7.0,7200000.0,3700000.0,7000000.0,False,False
Arrotex Australia Group Pty Ltd,1,False,FS KKR Capital Corp,Unknown,,2,6.7,3.7,7.1,6700000.0,3700000.0,7100000.0,False,False
"Dorado Bidco, Inc.",1,False,Ares Capital Corporation,Food & Beverage,Provider of consumer and market insights for the food and beverage industry,1,6.7,6.8,6.8,6700000.0,6800000.0,6800000.0,True,True
Relativity ODA LLC,1,False,Ares Capital Corporation,Software/Technology,Electronic discovery document review software platform for use in litigations and investigations,1,6.6,6.6,6.6,6600000.0,6600000.0,6600000.0,True,True
"Next Holdco, LLC",1,False,Ares Capital Corporation,Software/Technology,Provider of electronic medical record and practice management software,1,6.5,6.5,6.5,6500000.0,6500000.0,6500000.0,True,True
"Constellis Holdings LLC, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,6.3,0.0,0.0,6300000.0,0.0,0.0,False,False
"801 5th Ave, Seattle, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,6.3,0.0,0.0,6300000.0,0.0,0.0,False,False
Accuride Corp,1,False,FS KKR Capital Corp,Unknown,,1,6.2,0.0,7.5,6200000.0,0.0,7500000.0,False,False
"Priority Technology Holdings, Inc.",1,False,Ares Capital Corporation,Financial Services,Provider of merchant acquiring and payment processing solutions,1,6.2,0.0,4.0,6200000.0,0.0,4000000.0,True,True
Valeo Foods Group Ltd,1,False,FS KKR Capital Corp,Unknown,,2,6.1,2.3,7.1,6100000.0,2300000.0,7099999.999999999,False,False
"ProfitSolv Purchaser, Inc. and PS Co-Invest, L.P.",1,False,Ares Capital Corporation,Software/Technology,Provider of practice management software to law firms,2,6.1,6.1,6.1,6100000.0,6100000.0,6100000.0,True,True
"Wall Street Prep, Inc.",1,False,Main Street Capital Corporation,Financial Services,Financial Training Services,4,5.93,1.76,4.29,5934000.0,1759000.0,4292000.0,True,True
"Petrus Buyer, Inc.",1,False,Ares Capital Corporation,Business Services,Provider of REIT research data and analytics,1,5.9,5.9,5.9,5900000.0,5900000.0,5900000.0,True,True
"Steward Partners Global Advisory, LLC and Steward Partners Investment Advisory, LLC",1,False,Ares Capital Corporation,Software/Technology,Wealth management platform,3,5.8,2.9,5.6,5800000.0,2900000.0,5600000.0,True,True
Alpha Financial Markets Consulting PLC,1,False,FS KKR Capital Corp,Unknown,,1,5.8,4.5,5.8,5800000.0,4500000.0,5800000.0,False,False
"KBHS Acquisition, LLC (d/b/a Alita Care, LLC)",1,False,Ares Capital Corporation,Other,Provider of behavioral health services,4,5.8,3.5,7.0,5800000.0,3500000.0,7000000.0,True,False
"Bluestem Brands, Inc.",1,False,Main Street Capital Corporation,Retail,Multi-Channel Retailer of General Merchandise,3,5.76,5.56,4.96,5763000.0,5561000.0,4962000.0,True,True
"Optio Invest, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,5.7,3672725.0,4.7,5700000.0,3672725000000.0,4700000.0,False,False
"TPG IX Cardiff CI II, L.P.",1,False,Ares Capital Corporation,Financial Services,Provider of comprehensive wealth management services,1,5.7,0.0,5.8,5700000.0,0.0,5800000.0,True,True
Novotech Pty Ltd,1,False,FS KKR Capital Corp,Unknown,,1,5.6,0.0,5.6,5600000.0,0.0,5600000.0,False,False
"BAART Programs, Inc., MedMark Services, Inc., and Canadian Addiction Treatment Centres LP",1,False,Ares Capital Corporation,Other,Opioid treatment provider,1,5.6,5.9,5.9,5600000.0,5900000.0,5900000.0,True,False
"Berry Aviation, Inc.",1,False,Main Street Capital Corporation,Transportation & Logistics,Charter Airline Services,3,5.52,0.0,0.0,5520000.0,0.0,0.0,True,True
"Galaxy Universal LLC, Preferred Stock",1,False,FS KKR Capital Corp,Unknown,,1,5.5,0.0,0.0,5500000.0,0.0,0.0,False,False
Envirotainer Ltd,1,False,FS KKR Capital Corp,Unknown,,2,5.5,0.0,5.4,5500000.0,0.0,5400000.0,False,False
"Registrar Intermediate, LLC and PSP Registrar Co-Investment Fund, L.P.",1,False,Ares Capital Corporation,Business Services,Provider of FDA registration and consulting services,1,5.4,5.4,5.4,5400000.0,5400000.0,5400000.0,True,True
"VRC Companies, LLC",1,False,Ares Capital Corporation,Other,Provider of records and information management services,1,5.2,5.2,5.3,5200000.0,5200000.0,5300000.0,True,False
KPS Global LLC and Cool Group LLC,1,False,Ares Capital Corporation,Other,Manufacturer of walk-in cooler and freezer systems,1,5.1,5.2,5.2,5100000.0,5200000.0,5200000.0,True,False
Ultra Electronics Holdings Ltd,1,False,FS KKR Capital Corp,Unknown,,3,4.9,1.7,5.0,4900000.0,1700000.0,5000000.0,False,False
CAI Software LLC,1,False,Main Street Capital Corporation,Software/Technology,Provider of Specialized Enterprise Resource Planning Software,2,4.83,0.0,4.28,4834000.0,0.0,4284000.0,True,True
"LivTech Purchaser, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Provider of senior care end-to-end software, payments and RCM platform",1,4.8,4.9,4.9,4800000.0,4900000.0,4900000.0,True,True
"Tectonic Financial, LLC",1,False,Main Street Capital Corporation,Financial Services,Financial Services Organization,1,4.72,0.0,2.0,4720000.0,0.0,2000000.0,True,True
"Archer Systems, LLC",1,False,Main Street Capital Corporation,Other,Mass Tort Settlement Administration Solutions Provider,2,4.68,0.0,2.78,4680000.0,0.0,2776000.0,True,False
"Vistar Media, Inc.",1,False,Main Street Capital Corporation,Software/Technology,Operator of Digital Out-of-Home Advertising Platform,1,4.68,0.0,0.77,4676000.0,0.0,767000.0,True,True
"Harrison Hydra-Gen, Ltd.",1,False,Main Street Capital Corporation,Other,Manufacturer of Hydraulic Generators,1,4.66,0.0,0.72,4660000.0,0.0,718000.0,True,False
IQN Holding Corp.,1,False,Ares Capital Corporation,Software/Technology,Provider of extended workforce management software,3,4.6,2.3,4.6,4600000.0,2300000.0,4600000.0,True,True
"Synovus Financial Corp, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,4.6,4253710.0,4.3,4600000.0,4253710000000.0,4300000.0,False,False
"SunPower Financial, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,4.6,3690938.0,3.7,4600000.0,3690938000000.0,3700000.0,False,False
"Fuse, LLC",1,False,Main Street Capital Corporation,Telecommunications,Cable Networks Operator,6,4.5,3.62,8.26,4504000.0,3620000.0,8264000.0,True,True
"SunPower Financial, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,4.5,3690938.0,3.7,4500000.0,3690938000000.0,3700000.0,False,False
"Comprehensive EyeCare Partners, LLC",1,False,Ares Capital Corporation,Other,Vision care practice management company,3,4.4,2.3,4.6,4400000.0,2300000.0,4600000.0,True,False
"Home Partners JV 2, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,2,4.4,0.0,0.0,4400000.0,0.0,0.0,False,False
iNova Pharmaceuticals (Australia) Pty Limited,1,False,FS KKR Capital Corp,Unknown,,2,4.3,2.6,4.2,4300000.0,2600000.0,4200000.0,False,False
"IV Rollover Holdings, LLC",1,False,Ares Capital Corporation,Software/Technology,"Provider of cloud based IT solutions, infrastructure and services",2,4.2,0.0,3.8,4200000.0,0.0,3800000.0,True,True
"Ziegler’s NYPD, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Casual Restaurant Group,4,4.14,1.75,11.01,4140000.0,1750000.0,11008000.0,True,True
NewStar Clarendon 2014-1A Class D,1,False,FS KKR Capital Corp,Unknown,,2,4.1,0.0,2.8,4100000.0,0.0,2800000.0,False,False
Turnpoint Services Inc,1,False,FS KKR Capital Corp,Unknown,,2,4.1,4.1,4.1,4100000.0,4100000.0,4100000.0,False,False
Cliffwater LLC,1,False,Ares Capital Corporation,Financial Services,Provider of alternative investment advisory services,1,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
"Advarra Holdings, Inc.",1,False,Ares Capital Corporation,Healthcare Services,Provider of central institutional review boards over clinical trials,1,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
"BCTO Ignition Purchaser, Inc.",1,False,Ares Capital Corporation,Software/Technology,Enterprise software provider,1,4.0,4.0,4.0,4000000.0,4000000.0,4000000.0,True,True
"Evolent Health LLC and Evolent Health, Inc.",1,False,Ares Capital Corporation,Software/Technology,Medical technology company focused on value based care services and payment solutions,1,4.0,0.0,3.8,4000000.0,0.0,3800000.0,True,True
"DTE Enterprises, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Industrial Powertrain Repair and Services,6,3.96,0.0,8.3,3964000.0,0.0,8304000.0,True,True
"Gracent LLC, Preferred Equity",1,False,FS KKR Capital Corp,Unknown,,1,3.8,0.0,0.0,3800000.0,0.0,0.0,False,False
"Dynamic Communities, LLC",1,False,Main Street Capital Corporation,Software/Technology,Developer of Business Events and Online Community Groups,2,3.77,4.18,3.79,3771000.0,4184000.0,3792000.0,True,True
"HarbourView CLO VII-R, Ltd.",1,False,Prospect Capital Corporation,Unknown,,2,3.68,19.02,4.28,3676000.0,19025000.0,4285000.0,False,False
"Wellness AcquisitionCo, Inc.",1,False,Ares Capital Corporation,Business Services,"Provider of retail consumer insights and analytics for manufacturers and retailers in the natural, organic and specialty products industry",3,3.6,1.8,3.6,3600000.0,1800000.0,3600000.0,True,True
"Convey Health Solutions, Inc.",1,False,Ares Capital Corporation,Software/Technology,Healthcare workforce management software provider,4,3.6,2.1,4.2,3600000.0,2100000.0,4200000.0,True,True
"Thermostat Purchaser III, Inc.",1,False,Ares Capital Corporation,Industrial/Manufacturing,Provider of commercial HVAC equipment maintenance and repair services,2,3.6,3.6,3.6,3600000.0,3600000.0,3600000.0,True,True
"LLFlex, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Provider of Metal-Based Laminates,1,3.32,4.13,4.08,3316000.0,4133000.0,4083000.0,True,True
"Café Brazil, LLC",1,False,Main Street Capital Corporation,Food & Beverage,Casual Restaurant Group,2,3.18,0.0,3.48,3180000.0,0.0,3484000.0,True,True
Misys Ltd,1,False,FS KKR Capital Corp,Unknown,,4,3.1,3.1,3.1,3100000.0,3100000.0,3100000.0,False,False
"Vision Interests, Inc.",1,False,Main Street Capital Corporation,Other,Manufacturer / Installer of Commercial Signage,1,3.0,0.0,3.0,3000000.0,0.0,3000000.0,True,False
"National HME, Inc./NHME Holdings Corp.",1,False,New Mountain Finance Corporation,Unknown,,1,3.0,0.0,0.0,3000000.0,0.0,0.0,False,False
"GreenSky Holdings LLC, Term Loan",1,False,FS KKR Capital Corp,Unknown,,1,3.0,0.0,3.0,3000000.0,0.0,3000000.0,False,False
"Community Brands ParentCo, LLC",1,False,Ares Capital Corporation,Software/Technology,Software and payment services provider to non-profit institutions,1,3.0,0.0,5.0,3000000.0,0.0,5000000.0,True,True
"Classic H&G Holdings, LLC",1,False,Main Street Capital Corporation,Other,Provider of Engineered Packaging Solutions,1,2.85,0.0,0.0,2850000.0,0.0,0.0,True,False
"Fronton BV, Common Stock",1,False,FS KKR Capital Corp,Unknown,,2,2.8,0.0,0.0,2800000.0,0.0,0.0,False,False
"K&N HoldCo, LLC",1,False,Prospect Capital Corporation,Unknown,,4,2.79,0.0,103.0,2790000.0,0.0,102998000.0,False,False
"Saluda Grade Alternative Mortgage Trust 2022-BC2, Structured Mezzanine",1,False,FS KKR Capital Corp,Unknown,,1,2.7,0.0,2.4,2700000.0,0.0,2400000.0,False,False
"VORTEQ Coil Finishers, LLC",1,False,Main Street Capital Corporation,Other,Specialty Coating of Aluminum and Light-Gauge Steel,1,2.64,0.0,1.04,2640000.0,0.0,1038000.0,True,False
"JW Aluminum Co, Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,2.5,0.0,0.0,2500000.0,0.0,0.0,False,False
Asset Based Finance,1,False,FS KKR Capital Corp,Unknown,,1,2.5,0.0,0.0,2500000.0,0.0,0.0,False,False
"ATX Networks Corp, Class B-1 Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,2.5,0.0,0.0,2500000.0,0.0,0.0,False,False
"American Teleconferencing Services, Ltd.",1,False,Main Street Capital Corporation,Other,Provider of Audio Conferencing and Video Collaboration Solutions,6,2.46,36.01,66.86,2462000.0,36005000.0,66864000.0,True,False
"Revalize, Inc.",1,False,Ares Capital Corporation,Software/Technology,"Developer and operator of software providing configuration, price and quote capabilities",3,2.4,1.4,2.6,2400000.0,1400000.0,2600000.0,True,True
"Tex Tech Tennis, LLC",1,False,Main Street Capital Corporation,Other,Sporting Goods & Textiles,1,2.29,0.0,1.0,2290000.0,0.0,1000000.0,True,False
Congruent Credit Opportunities Funds,1,False,Main Street Capital Corporation,Financial Services,Investment Partnership,1,2.28,0.0,2.81,2276000.0,0.0,2813000.0,True,True
"Drive Revel, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,2.2,1853796.0,2.0,2200000.0,1853796000000.0,2000000.0,False,False
"ATS Workholding, LLC",1,False,Main Street Capital Corporation,Industrial/Manufacturing,Manufacturer of Machine Cutting Tools and Accessories,8,2.11,10.5,35.18,2114000.0,10503000.0,35178000.0,True,True
"TSS Buyer, LLC",1,False,Ares Capital Corporation,Healthcare Services,"Provider of outsourced testing, inspection, certification, and compliance services to healthcare and life sciences end markets",1,2.1,2.1,2.1,2100000.0,2100000.0,2100000.0,True,True
"TDC LLP, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,2.0,1576060.0,2.0,2000000.0,1576060000000.0,2000000.0,False,False
"TDC LLP, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,1.9,1576060.0,2.0,1900000.0,1576060000000.0,2000000.0,False,False
"One Call Care Management Inc, Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,1.9,0.0,0.0,1900000.0,0.0,0.0,False,False
"SiroMed Physician Services, Inc. and SiroMed Equity Holdings, LLC",1,False,Ares Capital Corporation,Other,Outsourced anesthesia provider,1,1.7,0.0,4.8,1700000.0,0.0,4800000.0,True,False
Saturn Purchaser Corp.,1,False,Ares Capital Corporation,Transportation & Logistics,Private aviation management company,1,1.7,1.7,1.7,1700000.0,1700000.0,1700000.0,True,True
"EP Wealth Advisors, LLC",1,False,Ares Capital Corporation,Financial Services,Wealth management and financial planning firm,3,1.6,0.8,1.6,1600000.0,800000.0,1600000.0,True,True
Dalton US Inc.,1,False,Main Street Capital Corporation,Other,Provider of Supplemental Labor Services,2,1.52,0.0,1.44,1520000.0,0.0,1440000.0,True,False
"Help/Systems Holdings, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of IT operations management and cybersecurity software,1,1.5,1.7,1.7,1500000.0,1700000.0,1700000.0,True,True
Boccella Precast Products LLC,1,False,Main Street Capital Corporation,Other,Manufacturer of Precast Hollow Core Concrete,3,1.15,0.32,5.15,1152000.0,320000.0,5152000.0,True,False
"Proserv Acquisition LLC, Class A Common Units",1,False,FS KKR Capital Corp,Unknown,,1,1.1,0.0,0.0,1100000.0,0.0,0.0,False,False
"NM GP Holdco, LLC",1,False,New Mountain Finance Corporation,Unknown,,1,1.05,0.0,0.0,1048000.0,0.0,0.0,False,False
"H.M. Dunn Co., 15%",1,False,FS KKR Capital Corp,Unknown,,1,1.0,0.0,0.0,1000000.0,0.0,0.0,False,False
"Galaxy Universal LLC, Trade Claim",1,False,FS KKR Capital Corp,Unknown,,1,1.0,0.0,0.0,1000000.0,0.0,0.0,False,False
"BCPE Pequod Buyer, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of wealth management technology solutions to financial institutions,1,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
"Perforce Software, Inc.",1,False,Ares Capital Corporation,Software/Technology,Developer of software used for application development,1,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
"Systems Planning and Analysis, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of systems engineering and technical assistance,1,1.0,1.0,1.0,1000000.0,1000000.0,1000000.0,True,True
"Optio Invest, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,1.0,810922.0,1.0,1000000.0,810922000000.0,1000000.0,False,False
"Proofpoint, Inc.",1,False,Ares Capital Corporation,Software/Technology,Cybersecurity solutions provider,1,1.0,1.0,0.9,1000000.0,1000000.0,900000.0,True,True
"Quality Lease Service, LLC",1,False,Main Street Capital Corporation,Hospitality,Provider of Rigsite Accommodation Unit Rentals and Related Services,2,0.92,0.0,15.09,920000.0,0.0,15092000.0,True,True
"Quorum Health Corp, Trade Claim",1,False,FS KKR Capital Corp,Unknown,,1,0.9,0.0,0.0,900000.0,0.0,0.0,False,False
"ATX Networks Corp, Class B-2 Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,0.8,0.0,0.0,800000.0,0.0,0.0,False,False
"Bambino Group Holdings, LLC",1,False,Ares Capital Corporation,Healthcare Services,Dental services provider,1,0.8,0.0,1.0,800000.0,0.0,1000000.0,True,True
SoundCloud Limited,1,False,Ares Capital Corporation,Software/Technology,"Platform for receiving, sending, and distributing music",1,0.7,0.0,0.4,700000.0,0.0,400000.0,True,True
Angelica Corp,1,False,FS KKR Capital Corp,Unknown,,1,0.7,0.0,2.7,700000.0,0.0,2700000.0,False,False
"Businessolver.com, Inc.",1,False,Ares Capital Corporation,Software/Technology,Provider of SaaS-based benefits solutions for employers and employees,1,0.6,0.6,0.6,600000.0,600000.0,600000.0,True,True
"Galaxy Universal LLC, Common Stock",1,False,FS KKR Capital Corp,Unknown,,1,0.5,0.0,0.0,500000.0,0.0,0.0,False,False
"Kilter Finance, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,0.5,536709.0,0.5,500000.0,536709000000.0,500000.0,False,False
"Kilter Finance, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,0.5,536709.0,0.5,500000.0,536709000000.0,500000.0,False,False
"CaseWorthy, Inc.",1,False,Main Street Capital Corporation,Software/Technology,SaaS Provider of Case Management Solutions,1,0.49,0.0,0.25,490000.0,0.0,246000.0,True,True
"Caregiver Services, Inc.",1,False,Oaktree Specialty Lending Corporation,Unknown,,1,0.43,0.0,0.0,432000.0,0.0,0.0,False,False
"Global Lending Services LLC, Bond",1,False,FS KKR Capital Corp,Unknown,,1,0.3,0.0,0.3,300000.0,0.0,300000.0,False,False
Sequel Youth & Family Services LLC,1,False,FS KKR Capital Corp,Unknown,,1,0.3,57.2,8.9,300000.0,57200000.0,8900000.0,False,False
R2 Acquisition Corp.,1,False,Ares Capital Corporation,Business Services,Marketing services,1,0.3,0.0,0.2,300000.0,0.0,200000.0,True,True
Cent CLO 21 Limited,1,False,Prospect Capital Corporation,Unknown,,3,0.19,99.1,0.0,192000.0,99104000.0,0.0,False,False
"Binswanger Enterprises, LLC",1,False,Main Street Capital Corporation,Other,Glass Repair and Installation Service Provider,1,0.12,0.0,1.05,120000.0,0.0,1050000.0,True,False
Halcyon Loan Advisors Funding 2015-3 Ltd.,1,False,Prospect Capital Corporation,Unknown,,3,0.12,39.6,0.12,115000.0,39598000.0,125000.0,False,False
"Residential Opportunities I LLC, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,0.1,39.0,0.0,100000.0,39000000.0,0.0,False,False
"Databricks, Inc.",1,False,Ares Capital Corporation,Software/Technology,Cloud-based data and AI platform that helps companies scale and manage data,1,0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
"The Edelman Financial Center, LLC",1,False,Ares Capital Corporation,Financial Services,"Provider of investment, financial and retirement planning services",1,0.1,0.1,0.1,100000.0,100000.0,100000.0,True,True
"Clarius BIGS, LLC",1,False,Main Street Capital Corporation,Business Services,Prints & Advertising Film Financing,2,0.04,5.33,5.33,35000.0,5326000.0,5326000.0,True,True
Halcyon Loan Advisors Funding 2014-2 Ltd.,1,False,Prospect Capital Corporation,Unknown,,4,0.03,82.33,0.02,32000.0,82328000.0,18000.0,False,False
NM APP CANADA CORP,1,False,New Mountain Finance Corporation,Unknown,,1,0.01,0.0,0.0,7000.0,0.0,0.0,False,False
The Avery,1,False,Oaktree Specialty Lending Corporation,Unknown,,2,0.0,25.98,0.0,0.0,25982000.0,0.0,False,False
"Symphony CLO XIV, Ltd.",1,False,Prospect Capital Corporation,Unknown,,1,0.0,49.25,0.0,0.0,49250000.0,0.0,False,False
Poplicus Incorporated,1,False,Ares Capital Corporation,Software/Technology,Business intelligence and market analytics platform for companies that sell to the public sector,1,0.0,0.0,0.1,0.0,0.0,100000.0,True,True
"Easy Gardener Products, Inc.",1,False,Prospect Capital Corporation,Unknown,,3,0.0,0.0,4.0,0.0,0.0,4002000.0,False,False
"Center for Autism and Related Disorders, LLC",1,False,Ares Capital Corporation,Software/Technology,Autism treatment and services provider specializing in applied behavior analysis therapy,3,0.0,9.3,0.0,0.0,9300000.0,0.0,True,True
"Prime ST LLC, Private Equity",1,False,FS KKR Capital Corp,Unknown,,1,0.0,5612193.0,7.3,0.0,5612193000000.0,7300000.0,False,False
Business Products,1,False,New Mountain Finance Corporation,Unknown,,1,0.0,4289.0,-43.0,0.0,4289000000.0,-43000000.0,False,False
"Byrider Finance LLC, ABF Equity",1,False,FS KKR Capital Corp,Unknown,,1,0.0,54407.0,0.0,0.0,54407000000.0,0.0,False,False
"Powin Energy Corp/NV, Warrants",1,False,FS KKR Capital Corp,Unknown,,4,0.0,2067356.0,0.0,0.0,2067356000000.0,0.0,False,False
